,Accuracy,F1,Recall,Precision
Logistic Regression (TF-IDF),0.6711974110032362,0.6505516516724104,0.6711974110032362,0.6820426232206948
Linear SVC (TF-IDF),0.7184466019417476,0.7073697411267069,0.7184466019417476,0.70929211479491
Random Forest (TF-IDF),0.7442071197411003,0.7479852420402545,0.7442071197411003,0.7542285877293894
Logistic Regression (Embeddings),0.5726860841423949,0.5317105792280126,0.5726860841423949,0.6151522112525145
Linear SVC (Embeddings),0.605177993527508,0.5783758051454722,0.605177993527508,0.6259675519308783
Random Forest (Embeddings),0.7633009708737863,0.7641572511329056,0.7633009708737863,0.7654669375322225
